8.963206838507602515e+04,4.313003411904793757e+04,2.214060756024521570e+00,0.000000000000000000e+00,-1.164468589831260973e-03
8.963200840416735446e+04,4.313011413336288388e+04,2.214054933681572468e+00,-1.164468589831261000e-04,-1.164468589831260973e-03
8.963194842419044289e+04,4.313019414837627846e+04,2.214037466652725161e+00,-2.328937179662522001e-04,-1.164468589831260973e-03
8.963188844607703504e+04,4.313027416478654050e+04,2.214008354937979206e+00,-3.493405769493783679e-04,-1.164468589831260973e-03
8.963182847075897735e+04,4.313035418329203821e+04,2.213967598537335046e+00,-4.657874359325044002e-04,-1.164468589831260973e-03
8.963176849916814535e+04,4.313043420459101617e+04,2.213915197450792682e+00,-5.822342949156304867e-04,-1.164468589831260973e-03
8.963170853223653103e+04,4.313051422938160977e+04,2.213851151678352114e+00,-6.986811538987567358e-04,-1.164468589831260973e-03
8.963164857089624275e+04,4.313059425836177979e+04,2.213775461220012897e+00,-8.151280128818827681e-04,-1.164468589831260973e-03
8.963158861607954896e+04,4.313067429222929059e+04,2.213688126075775475e+00,-9.315748718650088004e-04,-1.164468589831260973e-03
8.963152866871887818e+04,4.313075433168168820e+04,2.213589146245639849e+00,-1.048021730848134941e-03,-1.164468589831260973e-03
8.963146872974684811e+04,4.313083437741624948e+04,2.213478521729606019e+00,-1.164468589831260973e-03,-1.164468589831260973e-03
8.963140880009629473e+04,4.313091443012996751e+04,2.213356252527673540e+00,-1.280915448814387222e-03,-1.164468589831260973e-03
8.963134888070033048e+04,4.313099449051949341e+04,2.213222338639842857e+00,-1.397362307797513472e-03,-1.164468589831260973e-03
8.963128897249230067e+04,4.313107455928114359e+04,2.213076780066113969e+00,-1.513809166780639287e-03,-1.164468589831260973e-03
8.963122907640584162e+04,4.313115463711082703e+04,2.212919576806486877e+00,-1.630256025763765536e-03,-1.164468589831260973e-03
8.963116919337490981e+04,4.313123472470402339e+04,2.212750728860961580e+00,-1.746702884746891352e-03,-1.164468589831260973e-03
8.963110932433384005e+04,4.313131482275576855e+04,2.212570236229537635e+00,-1.863149743730017601e-03,-1.164468589831260973e-03
